userName,score,at,content
Christian Pandjaitan,5,2025-12-10 12:35:58,"cepat, dan selalu berikan terbaik mantap PLN"
HELMY AUFAR,2,2025-12-10 12:35:49,pasang baru satu pintu pas isi data pelanggan kenapa gak bisa lanjut. padahal semua sudah disisi
casper mania,5,2025-12-10 12:35:22,ok
Fajar Fajar,5,2025-12-10 12:34:19,respon cepat dan mudah digunakan
Hari Romlan,1,2025-12-10 12:32:56,"udah komplain berkali"" belum ada respon"
Andri ardiansyah,5,2025-12-10 12:30:50,semenjak ada pln mobile pasang baru jadi mudah menyala pln mobile 🔥🔥
Wahyu Ardi,5,2025-12-10 12:29:37,aplikasinya bagus
Erlangga Bintang,5,2025-12-10 12:28:45,sangat membantu
Yayat Karung,5,2025-12-10 12:28:28,pln mobile sangat membantu....
Muhiroh,5,2025-12-10 12:28:16,aplikasi pln mobile sangat membantu masyarakat untuk urusan pelistrikan
Alex Suhendra,5,2025-12-10 12:27:53,memudahkan dlm pembayaran token dan pengaduan gangguan listrik..ayo lebih baik lagi..
Dendy agus Kurniawan,5,2025-12-10 12:26:32,MANTAP 👍👍👍
vicky purba,5,2025-12-10 12:25:52,"respon pengaduan cepat, mantap mantap"
Adul Adul,5,2025-12-10 12:25:49,PLN mobile yes
Wal Ardy,5,2025-12-10 12:24:44,"joooossss bgt pln mobile,, 👍👍👍"
Yono Yono,5,2025-12-10 12:23:22,terima kasih PLN respon nya
Malka Sarif,5,2025-12-10 12:22:06,apik
Mus Tofa,5,2025-12-10 12:21:53,Pelayanan cepat dan memuaskan
faizal alfadili,5,2025-12-10 12:21:34,yak reh👍
Galih Rachmaghana,5,2025-12-10 12:20:57,Pln mobile top markotoppp sangat membantu sekalee...
Ummil Harisah,5,2025-12-10 12:20:53,pln hebat
Haikal Ramadani,5,2025-12-10 12:20:16,semoga sukses selalu untuk pln Mobel memberi pelayanan yg terbaik buat pelanggan
Indra Hamim,5,2025-12-10 12:19:56,"Aplikasi PLN mobile memberi kemudahan pelanggan,pelanggan sudah tidak perlu datang lagi dikantor"
Sela Alfi,5,2025-12-10 12:19:44,"PLN mobile sangat bermanfaat, matabb.. jos jis"
Danis Oky,5,2025-12-10 12:19:14,pln mobile sangat bagus
Grup E Ulppmk,5,2025-12-10 12:18:57,Top
Handri Manoppo,5,2025-12-10 12:18:52,Dengan aplikasi PLN mobile dpt mengetahui sdh sampai tahap apa pengaduan gangguan listrik saya
